Date	Price	Open	High	Low
"Mar 06, 2015"	"1,167.21"	"1,198.16"	"1,201.29"	"1,163.45"
"Mar 05, 2015"	"1,198.60"	"1,199.35"	"1,209.70"	"1,196.00"
"Mar 04, 2015"	"1,199.85"	"1,203.35"	"1,209.40"	"1,197.85"
"Mar 03, 2015"	"1,203.80"	"1,206.70"	"1,215.09"	"1,194.90"
"Mar 02, 2015"	"1,207.10"	"1,213.40"	"1,223.60"	"1,204.20"
"Feb 27, 2015"	"1,213.15"	"1,208.85"	"1,219.90"	"1,204.05"
"Feb 26, 2015"	"1,209.05"	"1,204.41"	"1,220.75"	"1,203.20"
"Feb 25, 2015"	"1,204.80"	"1,199.15"	"1,212.20"	"1,199.10"
"Feb 24, 2015"	"1,199.89"	"1,201.33"	"1,204.60"	"1,190.91"
"Feb 23, 2015"	"1,201.92"	"1,201.39"	"1,210.70"	"1,191.01"
"Feb 20, 2015"	"1,202.39"	"1,206.92"	"1,215.39"	"1,197.95"
"Feb 19, 2015"	"1,207.45"	"1,212.30"	"1,223.50"	"1,205.00"
"Feb 18, 2015"	"1,212.99"	"1,209.02"	"1,212.99"	"1,197.56"
"Feb 17, 2015"	"1,209.40"	"1,230.65"	"1,234.15"	"1,203.30"
"Feb 16, 2015"	"1,231.47"	"1,228.20"	"1,236.88"	"1,227.63"
"Feb 13, 2015"	"1,229.70"	"1,221.88"	"1,235.70"	"1,220.51"
"Feb 12, 2015"	"1,222.50"	"1,218.43"	"1,232.90"	"1,216.45"
"Feb 11, 2015"	"1,219.16"	"1,233.25"	"1,239.30"	"1,217.76"
"Feb 10, 2015"	"1,234.00"	"1,239.35"	"1,246.00"	"1,230.50"
"Feb 09, 2015"	"1,239.68"	"1,234.43"	"1,244.35"	"1,233.79"
"Feb 06, 2015"	"1,233.72"	"1,264.32"	"1,269.30"	"1,228.25"
"Feb 05, 2015"	"1,264.70"	"1,269.60"	"1,274.00"	"1,256.22"
"Feb 04, 2015"	"1,270.05"	"1,259.85"	"1,272.20"	"1,256.45"
"Feb 03, 2015"	"1,260.20"	"1,274.91"	"1,285.59"	"1,255.21"
"Feb 02, 2015"	"1,275.44"	"1,281.06"	"1,283.85"	"1,266.18"
"Jan 30, 2015"	"1,283.55"	"1,256.86"	"1,285.35"	"1,256.50"
"Jan 29, 2015"	"1,257.25"	"1,284.60"	"1,286.25"	"1,251.86"
"Jan 28, 2015"	"1,285.10"	"1,291.60"	"1,294.55"	"1,280.75"
"Jan 27, 2015"	"1,292.35"	"1,280.81"	"1,297.77"	"1,272.31"
"Jan 26, 2015"	"1,281.24"	"1,293.29"	"1,299.14"	"1,275.75"
"Jan 23, 2015"	"1,294.55"	"1,300.98"	"1,302.90"	"1,284.26"
"Jan 22, 2015"	"1,301.73"	"1,292.70"	"1,306.70"	"1,279.05"
"Jan 21, 2015"	"1,293.44"	"1,293.26"	"1,305.38"	"1,285.20"
"Jan 20, 2015"	"1,293.94"	"1,276.15"	"1,297.23"	"1,273.70"
"Jan 19, 2015"	"1,277.08"	"1,279.30"	"1,281.63"	"1,271.85"
"Jan 16, 2015"	"1,280.30"	"1,261.56"	"1,281.99"	"1,254.88"
"Jan 15, 2015"	"1,261.64"	"1,229.46"	"1,266.59"	"1,225.70"
"Jan 14, 2015"	"1,229.95"	"1,230.36"	"1,244.40"	"1,224.55"
"Jan 13, 2015"	"1,230.88"	"1,233.10"	"1,244.12"	"1,227.01"
"Jan 12, 2015"	"1,233.64"	"1,222.62"	"1,236.29"	"1,218.17"
"Jan 09, 2015"	"1,223.40"	"1,208.90"	"1,224.00"	"1,206.70"
"Jan 08, 2015"	"1,208.98"	"1,210.16"	"1,216.65"	"1,204.32"
"Jan 07, 2015"	"1,210.80"	"1,218.80"	"1,219.85"	"1,208.45"
"Jan 06, 2015"	"1,219.20"	"1,204.10"	"1,223.15"	"1,201.10"
"Jan 05, 2015"	"1,204.45"	"1,188.59"	"1,208.15"	"1,182.70"
"Jan 02, 2015"	"1,189.18"	"1,182.20"	"1,194.60"	"1,168.25"
"Jan 01, 2015"	"1,181.97"	"1,183.40"	"1,184.53"	"1,181.60"
"Dec 31, 2014"	"1,183.95"	"1,199.86"	"1,204.00"	"1,179.15"
"Dec 30, 2014"	"1,200.24"	"1,182.98"	"1,210.29"	"1,180.50"
"Dec 29, 2014"	"1,183.10"	"1,195.33"	"1,197.79"	"1,178.96"
"Dec 26, 2014"	"1,195.40"	"1,172.70"	"1,199.75"	"1,172.70"
